Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-03-02 09:26:31.919 -0500,"Failure",0:00:06,1,0,1,"20230302_092631.919/LogFile.txt","","No Remote Connection -- doubleclick Error - Remote Connection Unavailable",0
2023-03-02 09:30:09.967 -0500,"Aborted",0:00:17,1,0,0,"20230302_093009.967/LogFile.txt","","",0
2023-03-02 09:30:56.695 -0500,"Aborted",0:00:56,1,0,0,"20230302_093056.695/LogFile.txt","","",0
2023-03-03 09:17:10.859 -0500,"Aborted",0:01:24,1,0,0,"20230303_091710.859/LogFile.txt","","",0
2023-03-03 09:19:53.246 -0500,"Aborted",0:02:09,1,0,1,"20230303_091953.246/LogFile.txt","","",0
2023-03-03 15:21:49.022 -0500,"Aborted",0:02:42,1,0,1,"20230303_152149.022/LogFile.txt","","",0
2023-03-07 12:29:15.892 -0500,"Aborted",0:01:24,1,0,1,"20230307_122915.892/LogFile.txt","","",0
2023-03-08 09:01:05.709 -0500,"Aborted",0:03:09,1,0,0,"20230308_090105.709/LogFile.txt","","",0
2023-03-08 11:44:40.861 -0500,"Aborted",0:00:03,1,0,0,"20230308_114440.861/LogFile.txt","","",0
2023-03-08 15:48:37.092 -0500,"Aborted",0:01:03,1,0,0,"20230308_154837.092/LogFile.txt","","",0
2023-03-08 16:46:05.688 -0500,"Aborted",0:02:44,1,0,1,"20230308_164605.688/LogFile.txt","","",0
2023-03-08 16:55:47.105 -0500,"Aborted",0:04:52,1,0,0,"20230308_165547.105/LogFile.txt","","",0
2023-03-09 09:55:26.754 -0500,"Success",0:06:55,0,0,0,"20230309_095526.754/LogFile.txt","","",1
2023-03-09 15:05:57.079 -0500,"Aborted",0:00:37,1,0,0,"20230309_150557.079/LogFile.txt","","",0
2023-03-09 15:30:27.092 -0500,"Aborted",0:04:59,1,0,0,"20230309_153027.092/LogFile.txt","","",0
2023-03-10 05:46:07.599 -0500,"Aborted",0:03:43,1,0,1,"20230310_054607.599/LogFile.txt","","",0
