Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-02-07 09:21:57.003 -0500,"Success",0:01:17,0,0,0,"20230207_092157.003/LogFile.txt","","",2
2023-02-07 14:43:37.963 -0500,"Success",0:02:13,0,0,0,"20230207_144337.963/LogFile.txt","","",2
2023-02-08 15:26:46.660 -0500,"Aborted",0:00:10,1,0,0,"20230208_152646.660/LogFile.txt","","",0
2023-02-08 19:23:22.137 -0500,"Aborted",0:00:04,1,0,0,"20230208_192322.137/LogFile.txt","","",0
2023-02-09 10:53:59.335 -0500,"Aborted",0:00:33,1,0,0,"20230209_105359.335/LogFile.txt","","",0
2023-02-09 11:54:05.130 -0500,"Aborted",0:00:03,1,0,0,"20230209_115405.130/LogFile.txt","","",0
2023-02-13 14:30:48.573 -0500,"Aborted",0:00:08,1,0,0,"20230213_143048.573/LogFile.txt","","",0
2023-02-13 14:32:00.279 -0500,"Aborted",0:00:04,1,0,0,"20230213_143200.279/LogFile.txt","","",0
2023-02-14 11:51:26.035 -0500,"Aborted",0:00:09,1,0,0,"20230214_115126.035/LogFile.txt","","",0
2023-02-14 12:04:53.534 -0500,"Failure",0:07:18,1,0,1,"20230214_120453.534/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""CernerHomeButton"" within 60.00 seconds",4
2023-02-14 13:26:42.355 -0500,"Aborted",0:00:13,1,0,1,"20230214_132642.355/LogFile.txt","","",0
2023-02-14 14:35:03.064 -0500,"Aborted",0:01:04,1,0,0,"20230214_143503.064/LogFile.txt","","",0
2023-02-14 14:37:36.424 -0500,"Aborted",0:04:16,1,0,1,"20230214_143736.424/LogFile.txt","","",0
2023-02-14 14:44:03.073 -0500,"Failure",0:03:51,1,0,1,"20230214_144403.073/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Exit""",0
2023-02-15 09:35:05.597 -0500,"Aborted",0:03:40,1,0,0,"20230215_093505.597/LogFile.txt","","",0
2023-02-15 09:47:45.608 -0500,"Failure",0:06:05,1,0,1,"20230215_094745.608/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""668SPOCPLogin668SPOCPLogin668S""",0
2023-02-15 12:36:37.075 -0500,"Aborted",0:04:49,1,0,0,"20230215_123637.075/LogFile.txt","","",0
2023-02-15 12:46:25.882 -0500,"Aborted",0:00:09,1,0,0,"20230215_124625.882/LogFile.txt","","",0
2023-02-15 13:40:51.412 -0500,"Aborted",0:05:09,1,0,0,"20230215_134051.412/LogFile.txt","","",0
2023-02-15 14:14:56.501 -0500,"Failure",0:06:43,1,0,1,"20230215_141456.501/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""668SPOCPLogin668SPOCPLogin668S""",0
2023-02-15 14:39:29.717 -0500,"Aborted",0:00:30,1,0,0,"20230215_143929.717/LogFile.txt","","",0
2023-02-17 14:22:37.709 -0500,"Aborted",0:05:28,1,0,1,"20230217_142237.709/LogFile.txt","","",0
2023-02-17 14:28:13.409 -0500,"Aborted",0:00:09,1,0,0,"20230217_142813.409/LogFile.txt","","",0
2023-02-17 15:35:11.164 -0500,"Aborted",0:00:02,1,0,0,"20230217_153511.164/LogFile.txt","","",0
2023-02-17 15:36:24.975 -0500,"Aborted",0:02:24,1,0,1,"20230217_153624.975/LogFile.txt","","",0
2023-02-21 18:30:25.133 -0500,"Failure",0:04:37,1,0,1,"20230221_183025.133/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""RefreshOrders""",0
2023-02-22 12:57:55.348 -0500,"Failure",0:55:31,1,0,1,"20230222_125755.348/LogFile.txt","","No Remote Connection -- click Error - Remote Connection Unavailable",0
2023-02-22 13:53:47.721 -0500,"Aborted",0:00:01,0,0,0,"20230222_135347.721/LogFile.txt","","",1
2023-02-22 13:57:25.109 -0500,"Aborted",0:00:12,1,0,0,"20230222_135725.109/LogFile.txt","","",0
2023-02-22 15:04:33.958 -0500,"Aborted",0:00:55,1,0,0,"20230222_150433.958/LogFile.txt","","",0
2023-02-22 15:06:04.515 -0500,"Aborted",0:04:43,1,0,0,"20230222_150604.515/LogFile.txt","","",0
2023-02-22 15:13:00.975 -0500,"Failure",0:04:27,1,0,1,"20230222_151300.975/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""RefreshOrders""",0
2023-02-22 15:18:03.293 -0500,"Failure",0:05:15,1,0,1,"20230222_151803.293/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""PC_PatientSearchDropDown"" within 30.00 seconds",0
2023-02-27 13:24:54.107 -0500,"Aborted",0:02:16,1,0,0,"20230227_132454.107/LogFile.txt","","",0
2023-02-27 13:27:27.931 -0500,"Aborted",0:01:51,1,0,0,"20230227_132727.931/LogFile.txt","","",0
