Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2022-11-14 12:12:56.247 -0500,"Success",0:00:07,0,0,0,"20221114_121256.247/LogFile.txt","","",1
2022-11-14 12:14:18.114 -0500,"Success",0:00:05,0,0,0,"20221114_121418.114/LogFile.txt","","",1
2022-11-14 12:16:35.840 -0500,"Success",0:00:06,0,0,0,"20221114_121635.840/LogFile.txt","","",1
2022-11-14 12:35:18.923 -0500,"Success",0:00:05,0,0,0,"20221114_123518.923/LogFile.txt","","",1
2022-11-14 12:40:36.918 -0500,"Success",0:00:06,0,0,0,"20221114_124036.918/LogFile.txt","","",1
2022-11-14 12:41:32.868 -0500,"Success",0:00:06,0,0,0,"20221114_124132.868/LogFile.txt","","",1
2022-11-14 13:00:36.569 -0500,"Success",0:00:48,0,0,0,"20221114_130036.569/LogFile.txt","","",1
2022-11-14 13:03:22.272 -0500,"Success",0:00:40,0,0,0,"20221114_130322.272/LogFile.txt","","",1
2022-11-14 13:06:21.194 -0500,"Failure",0:00:33,1,0,1,"20221114_130621.194/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""SSOiIcon""",0
2022-11-14 13:07:32.788 -0500,"Aborted",0:01:25,1,0,0,"20221114_130732.788/LogFile.txt","","",0
2022-11-14 14:09:50.582 -0500,"Failure",0:01:50,1,0,0,"20221114_140950.582/LogFile.txt","","Script Error -- Number of Errors logged: 1",1
2022-11-15 10:08:55.273 -0500,"Aborted",0:01:02,1,0,1,"20221115_100855.273/LogFile.txt","","",0
2022-11-15 10:10:25.076 -0500,"Aborted",0:01:03,1,0,1,"20221115_101025.076/LogFile.txt","","",0
2022-11-15 10:12:11.068 -0500,"Aborted",0:01:04,1,0,1,"20221115_101211.068/LogFile.txt","","",0
2022-11-15 10:14:39.311 -0500,"Failure",0:01:44,1,0,1,"20221115_101439.311/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""PleaseEnterYourPIN""",0
2022-11-16 10:25:56.832 -0500,"Aborted",0:00:35,1,0,0,"20221116_102556.832/LogFile.txt","","",0
2022-11-16 10:31:02.797 -0500,"Aborted",0:00:49,1,0,0,"20221116_103102.797/LogFile.txt","","",0
2022-11-16 10:39:28.521 -0500,"Aborted",0:00:32,1,0,1,"20221116_103928.521/LogFile.txt","","",0
2022-11-16 10:58:30.485 -0500,"Aborted",0:00:32,1,0,1,"20221116_105830.485/LogFile.txt","","",0
2022-11-16 10:59:11.717 -0500,"Aborted",0:00:06,1,0,0,"20221116_105911.717/LogFile.txt","","",0
2022-11-16 10:59:25.468 -0500,"Aborted",0:00:08,1,0,0,"20221116_105925.468/LogFile.txt","","",0
2022-11-17 12:21:04.352 -0500,"Aborted",0:02:21,1,0,1,"20221117_122104.352/LogFile.txt","","",0
2022-11-28 12:04:57.411 -0500,"Failure",0:01:50,1,0,1,"20221128_120457.411/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""PleaseEnterYourPIN""",0
2022-11-28 13:09:38.714 -0500,"Failure",0:00:40,1,0,1,"20221128_130938.714/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""CertificateSelection""",0
2022-12-01 10:21:59.293 -0500,"Aborted",0:02:06,1,0,1,"20221201_102159.293/LogFile.txt","","",0
2022-12-01 10:34:41.004 -0500,"Aborted",0:00:16,1,0,0,"20221201_103441.004/LogFile.txt","","",0
2022-12-01 10:35:57.059 -0500,"Aborted",0:00:04,1,0,0,"20221201_103557.059/LogFile.txt","","",0
2022-12-01 10:36:09.898 -0500,"Aborted",0:00:12,1,0,0,"20221201_103609.898/LogFile.txt","","",0
2022-12-01 10:38:26.013 -0500,"Aborted",0:00:04,1,0,0,"20221201_103826.013/LogFile.txt","","",0
2022-12-02 15:21:36.928 -0500,"Aborted",0:00:11,1,0,0,"20221202_152136.928/LogFile.txt","","",0
2022-12-02 15:29:32.389 -0500,"Aborted",0:00:08,1,0,0,"20221202_152932.389/LogFile.txt","","",0
